source_id,destination_id,frequency,source_city,source_state,source_country,source_lat,source_long,dest_city,dest_state,dest_country,dest_lat,dest_long
fdb12d00-cb8f-11eb-9615-121df0c29c1e,07bd9353-cb90-11eb-9615-121df0c29c1e,1,Paris,NA,FR,48.8588,2.32003,Aachens,NA,FR,NA,NA
a97e9931-cb8e-11eb-9615-121df0c29c1e,07c4df30-cb8f-11eb-9615-121df0c29c1e,1,Des Moines,IA,US,41.569,-93.6164,Urbandaie,IA,US,NA,NA
ef312da8-cb90-11eb-9615-121df0c29c1e,07c718f1-cb8f-11eb-9615-121df0c29c1e,1,Trier,NA,DE,49.778,6.66827,D-5000 Trier,NA,DE,41.2333,32.6681
fbcbf3f6-cb8f-11eb-9615-121df0c29c1e,080bfbe1-cb91-11eb-9615-121df0c29c1e,1,Houston,TX,US,29.8238,-95.4485,Pebblebrook,TX,US,NA,NA
e374541a-cb90-11eb-9615-121df0c29c1e,0866d4b1-cb91-11eb-9615-121df0c29c1e,1,Brampton,NA,CA,43.7247,-79.7437,Prampton,NA,CA,NA,NA
fe2b72ec-09bd-11ec-893a-12de62d610b1,08ca20d5-cb91-11eb-9615-121df0c29c1e,1,St. Mary's,PA,US,40.7211,-76.1906,St. Mary,PA,US,40.7603,-76.056
73f72101-cb8e-11eb-9615-121df0c29c1e,0984724a-cb90-11eb-9615-121df0c29c1e,1,6020 Innsbruck-Arzl,NA,AT,47.1802,10.7762,Kirchenberg,NA,AT,NA,NA
d98dd474-cb8f-11eb-9615-121df0c29c1e,0990604f-cb8f-11eb-9615-121df0c29c1e,1,Missouri City,TX,US,29.5487,-95.5114,LaBaule,NA,FR,NA,NA
471947a7-cb8e-11eb-9615-121df0c29c1e,09a6cb72-cb91-11eb-9615-121df0c29c1e,1,Red Lodge,MT,US,45.1931,-109.25,Luther,MT,US,45.2844,-109.429
3ca37fca-cb8e-11eb-9615-121df0c29c1e,09c0326c-cb90-11eb-9615-121df0c29c1e,1,Pearland,TX,US,29.5479,-95.2767,Harwicke,NA,GB,NA,NA
4f93f5d7-cb8e-11eb-9615-121df0c29c1e,09c474b4-cb8f-11eb-9615-121df0c29c1e,1,Scarsdale,NY,US,40.9691,-73.7635,Bethel,AK,US,NA,NA
f4423db1-cb8e-11eb-9615-121df0c29c1e,09d7bd70-cb8f-11eb-9615-121df0c29c1e,1,Toledo,OH,US,41.6562,-83.5865,Yukan,NA,AU,-21.517,149.234
3c7a189c-cb8e-11eb-9615-121df0c29c1e,09eaded6-cb8f-11eb-9615-121df0c29c1e,1,Hartland,WI,US,43.1001,-88.3449,Chenequa,WI,US,43.1256,-88.3859
5634d953-cb8e-11eb-9615-121df0c29c1e,0a27938a-cb8f-11eb-9615-121df0c29c1e,1,Almetievsk,NA,RU,NA,NA,Almetievsky,NA,RU,NA,NA
5634d953-cb8e-11eb-9615-121df0c29c1e,0a279bb5-cb8f-11eb-9615-121df0c29c1e,1,Almetievsk,NA,RU,NA,NA,Aznakaevo,NA,RU,NA,NA
fffb8644-cb90-11eb-9615-121df0c29c1e,0a2e5613-cb91-11eb-9615-121df0c29c1e,1,Caulfield South,NA,AU,-37.8947,145.025,Donnybrook,NA,AU,-33.5774,115.825
d08fbe5a-cb8f-11eb-9615-121df0c29c1e,0ab95b10-cb8f-11eb-9615-121df0c29c1e,1,Darien,IL,US,41.7509,-87.974,Darlen,IL,US,NA,NA
c0dd234b-cb90-11eb-9615-121df0c29c1e,0ae087af-cb90-11eb-9615-121df0c29c1e,1,Alsdorf,NA,DE,50.8683,6.17668,Alsdorf,NA,DE,50.7669,7.88271
