field,year,patent_category,gender_category,count
pharmaceuticals,2003,Collaborative,with women,1797
pharmaceuticals,2003,Collaborative,pct_withwomen,46.42211314905709
pharmaceuticals,2004,Solo,Npatent,945
pharmaceuticals,2004,Solo,only men,825
pharmaceuticals,2004,Solo,with women,120
pharmaceuticals,2004,Solo,pct_withwomen,12.698412698412698
pharmaceuticals,2004,Collaborative,Npatent,3044
pharmaceuticals,2004,Collaborative,only men,1661
pharmaceuticals,2004,Collaborative,with women,1383
pharmaceuticals,2004,Collaborative,pct_withwomen,45.433639947437584
pharmaceuticals,2005,Solo,Npatent,825
pharmaceuticals,2005,Solo,only men,726
pharmaceuticals,2005,Solo,with women,99
pharmaceuticals,2005,Solo,pct_withwomen,12
pharmaceuticals,2005,Collaborative,Npatent,2839
pharmaceuticals,2005,Collaborative,only men,1489
pharmaceuticals,2005,Collaborative,with women,1350
pharmaceuticals,2005,Collaborative,pct_withwomen,47.551954913702005
pharmaceuticals,2006,Solo,Npatent,1035
pharmaceuticals,2006,Solo,only men,899
pharmaceuticals,2006,Solo,with women,136
pharmaceuticals,2006,Solo,pct_withwomen,13.140096618357488
pharmaceuticals,2006,Collaborative,Npatent,3649
pharmaceuticals,2006,Collaborative,only men,1909
pharmaceuticals,2006,Collaborative,with women,1740
pharmaceuticals,2006,Collaborative,pct_withwomen,47.684297067689776
pharmaceuticals,2007,Solo,Npatent,907
pharmaceuticals,2007,Solo,only men,790
pharmaceuticals,2007,Solo,with women,117
pharmaceuticals,2007,Solo,pct_withwomen,12.899669239250276
pharmaceuticals,2007,Collaborative,Npatent,3421
pharmaceuticals,2007,Collaborative,only men,1655
pharmaceuticals,2007,Collaborative,with women,1766
pharmaceuticals,2007,Collaborative,pct_withwomen,51.622332651271556
pharmaceuticals,2008,Solo,Npatent,858
pharmaceuticals,2008,Solo,only men,730
pharmaceuticals,2008,Solo,with women,128
pharmaceuticals,2008,Solo,pct_withwomen,14.918414918414918
pharmaceuticals,2008,Collaborative,Npatent,3369
pharmaceuticals,2008,Collaborative,only men,1626
pharmaceuticals,2008,Collaborative,with women,1743
pharmaceuticals,2008,Collaborative,pct_withwomen,51.736420302760465
pharmaceuticals,2009,Solo,Npatent,893
pharmaceuticals,2009,Solo,only men,760
pharmaceuticals,2009,Solo,with women,133
pharmaceuticals,2009,Solo,pct_withwomen,14.893617021276595
pharmaceuticals,2009,Collaborative,Npatent,3654
pharmaceuticals,2009,Collaborative,only men,1718
pharmaceuticals,2009,Collaborative,with women,1936
pharmaceuticals,2009,Collaborative,pct_withwomen,52.98303229337712
pharmaceuticals,2010,Solo,Npatent,1369
pharmaceuticals,2010,Solo,only men,1170
pharmaceuticals,2010,Solo,with women,199
pharmaceuticals,2010,Solo,pct_withwomen,14.536157779401023
pharmaceuticals,2010,Collaborative,Npatent,4898
pharmaceuticals,2010,Collaborative,only men,2398
pharmaceuticals,2010,Collaborative,with women,2500
pharmaceuticals,2010,Collaborative,pct_withwomen,51.041241322988974
pharmaceuticals,2011,Solo,Npatent,1342
pharmaceuticals,2011,Solo,only men,1162
pharmaceuticals,2011,Solo,with women,180
pharmaceuticals,2011,Solo,pct_withwomen,13.412816691505217
pharmaceuticals,2011,Collaborative,Npatent,4789
pharmaceuticals,2011,Collaborative,only men,2368
pharmaceuticals,2011,Collaborative,with women,2421
pharmaceuticals,2011,Collaborative,pct_withwomen,50.553351430361246
pharmaceuticals,2012,Solo,Npatent,1564
pharmaceuticals,2012,Solo,only men,1342
pharmaceuticals,2012,Solo,with women,222
pharmaceuticals,2012,Solo,pct_withwomen,14.194373401534527
pharmaceuticals,2012,Collaborative,Npatent,5701
pharmaceuticals,2012,Collaborative,only men,2714
pharmaceuticals,2012,Collaborative,with women,2987
pharmaceuticals,2012,Collaborative,pct_withwomen,52.39431678652868
pharmaceuticals,2013,Solo,Npatent,1797
pharmaceuticals,2013,Solo,only men,1559
pharmaceuticals,2013,Solo,with women,238
pharmaceuticals,2013,Solo,pct_withwomen,13.244296048970506
pharmaceuticals,2013,Collaborative,Npatent,6493
pharmaceuticals,2013,Collaborative,only men,3038
pharmaceuticals,2013,Collaborative,with women,3455
pharmaceuticals,2013,Collaborative,pct_withwomen,53.21115046973664
pharmaceuticals,2014,Solo,Npatent,1841
pharmaceuticals,2014,Solo,only men,1588
pharmaceuticals,2014,Solo,with women,253
pharmaceuticals,2014,Solo,pct_withwomen,13.74253123302553
pharmaceuticals,2014,Collaborative,Npatent,6969
pharmaceuticals,2014,Collaborative,only men,3338
pharmaceuticals,2014,Collaborative,with women,3631
pharmaceuticals,2014,Collaborative,pct_withwomen,52.10216673841297
pharmaceuticals,2015,Solo,Npatent,1857
pharmaceuticals,2015,Solo,only men,1618
pharmaceuticals,2015,Solo,with women,239
pharmaceuticals,2015,Solo,pct_withwomen,12.870220786214324
pharmaceuticals,2015,Collaborative,Npatent,6715
pharmaceuticals,2015,Collaborative,only men,3207
pharmaceuticals,2015,Collaborative,with women,3508
pharmaceuticals,2015,Collaborative,pct_withwomen,52.241250930752045
pharmaceuticals,2016,Solo,Npatent,1823
pharmaceuticals,2016,Solo,only men,1593
pharmaceuticals,2016,Solo,with women,230
pharmaceuticals,2016,Solo,pct_withwomen,12.616566099835437
pharmaceuticals,2016,Collaborative,Npatent,6574
pharmaceuticals,2016,Collaborative,only men,3188
pharmaceuticals,2016,Collaborative,with women,3386
pharmaceuticals,2016,Collaborative,pct_withwomen,51.50593246121083
pharmaceuticals,2017,Solo,Npatent,1922
pharmaceuticals,2017,Solo,only men,1630
pharmaceuticals,2017,Solo,with women,292
pharmaceuticals,2017,Solo,pct_withwomen,15.192507804370447
pharmaceuticals,2017,Collaborative,Npatent,7160
pharmaceuticals,2017,Collaborative,only men,3464
pharmaceuticals,2017,Collaborative,with women,3696
pharmaceuticals,2017,Collaborative,pct_withwomen,51.62011173184357
pharmaceuticals,2018,Solo,Npatent,1942
pharmaceuticals,2018,Solo,only men,1693
pharmaceuticals,2018,Solo,with women,249
pharmaceuticals,2018,Solo,pct_withwomen,12.82183316168898
pharmaceuticals,2018,Collaborative,Npatent,6599
pharmaceuticals,2018,Collaborative,only men,3196
pharmaceuticals,2018,Collaborative,with women,3403
pharmaceuticals,2018,Collaborative,pct_withwomen,51.56841945749356
pharmaceuticals,2019,Solo,Npatent,1945
pharmaceuticals,2019,Solo,only men,1671
pharmaceuticals,2019,Solo,with women,274
pharmaceuticals,2019,Solo,pct_withwomen,14.087403598971722
pharmaceuticals,2019,Collaborative,Npatent,7089
pharmaceuticals,2019,Collaborative,only men,3436
pharmaceuticals,2019,Collaborative,with women,3653
pharmaceuticals,2019,Collaborative,pct_withwomen,51.53054027366342
pharmaceuticals,2020,Solo,Npatent,1924
pharmaceuticals,2020,Solo,only men,1657
pharmaceuticals,2020,Solo,with women,267
pharmaceuticals,2020,Solo,pct_withwomen,13.877338877338877
pharmaceuticals,2020,Collaborative,Npatent,7155
pharmaceuticals,2020,Collaborative,only men,3555
pharmaceuticals,2020,Collaborative,with women,3600
pharmaceuticals,2020,Collaborative,pct_withwomen,50.314465408805034
pharmaceuticals,2021,Solo,Npatent,1936
pharmaceuticals,2021,Solo,only men,1712
pharmaceuticals,2021,Solo,with women,224
pharmaceuticals,2021,Solo,pct_withwomen,11.570247933884298
pharmaceuticals,2021,Collaborative,Npatent,6833
pharmaceuticals,2021,Collaborative,only men,3399
pharmaceuticals,2021,Collaborative,with women,3434
pharmaceuticals,2021,Collaborative,pct_withwomen,50.256110054148984
